               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.81008,             0.55173,              1.3641,             0.92868,             0.96477,             0.93802,             0.79862,             0.61263,             0.31207,              1.3457,            0.002872,            0.002872,            0.002872
                  38,             0.80038,             0.54028,              1.3532,             0.93265,              0.9617,             0.93789,             0.80394,              0.6103,             0.31776,              1.3488,            0.002674,            0.002674,            0.002674
                  39,             0.79645,             0.52895,              1.3505,             0.91097,               0.966,             0.92652,             0.80199,             0.59717,             0.30781,              1.3409,            0.002476,            0.002476,            0.002476
                  40,             0.79447,             0.52748,              1.3519,             0.94408,             0.93628,             0.93498,              0.8103,             0.60036,             0.30701,              1.3401,            0.002278,            0.002278,            0.002278
                  41,             0.79166,             0.52042,              1.3465,             0.92679,             0.93875,             0.94349,             0.81794,             0.58995,             0.29783,              1.3268,             0.00208,             0.00208,             0.00208
                  42,              0.7912,             0.52242,              1.3431,             0.97509,              0.9412,             0.95815,             0.82661,             0.58521,             0.29714,              1.3237,            0.001882,            0.001882,            0.001882
                  43,               0.784,             0.51866,              1.3401,              0.9001,             0.96393,             0.92453,             0.79652,             0.58507,              0.3033,              1.3291,            0.001684,            0.001684,            0.001684
                  44,             0.77816,              0.5055,               1.341,             0.90379,             0.96684,             0.94122,             0.80741,             0.58705,             0.29692,              1.3225,            0.001486,            0.001486,            0.001486
                  45,              0.7744,              0.5024,              1.3325,             0.91696,              0.9661,             0.93312,             0.80505,             0.58155,             0.29388,              1.3161,            0.001288,            0.001288,            0.001288
                  46,             0.76975,             0.50083,              1.3251,              0.9168,             0.96513,             0.94535,             0.81618,              0.5763,             0.29386,              1.3103,             0.00109,             0.00109,             0.00109
                  47,             0.76836,             0.49559,              1.3301,             0.92792,             0.96249,             0.94462,             0.81358,             0.57428,             0.29107,              1.3094,            0.000892,            0.000892,            0.000892
                  48,             0.76594,             0.49615,              1.3251,             0.90382,             0.94356,               0.921,             0.80514,             0.57287,             0.29378,              1.3111,            0.000694,            0.000694,            0.000694
                  49,             0.76299,             0.49084,              1.3249,              0.9194,             0.96623,             0.94611,             0.81564,             0.57335,             0.29088,               1.311,            0.000496,            0.000496,            0.000496
