               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,              1.7666,              2.0996,              2.2029,             0.68215,             0.40526,             0.42513,             0.22853,              1.6951,              2.1492,              2.3588,            0.006436,            0.006436,            0.006436
                  38,              1.7622,              2.1184,               2.177,             0.72386,             0.41737,              0.4481,             0.24133,              1.6971,              1.9521,              2.3502,            0.006337,            0.006337,            0.006337
                  39,               1.751,              2.0932,              2.1892,             0.77822,             0.43158,             0.46877,             0.26458,              1.6104,              1.9874,              2.2642,            0.006238,            0.006238,            0.006238
                  40,              1.7411,              2.0399,              2.1589,             0.70869,             0.41613,             0.45598,             0.26407,              1.6002,              1.9402,              2.2292,            0.006139,            0.006139,            0.006139
                  41,              1.7294,              2.0222,              2.1551,             0.75884,             0.44316,             0.49024,             0.28337,                1.63,               1.913,               2.262,             0.00604,             0.00604,             0.00604
                  42,              1.7238,              2.0081,              2.1531,             0.75166,             0.42632,             0.47084,             0.26463,              1.6381,              1.9231,              2.2845,            0.005941,            0.005941,            0.005941
                  43,               1.695,              2.0338,              2.1309,             0.72348,             0.42689,             0.46811,             0.26658,              1.6372,              1.9011,              2.2418,            0.005842,            0.005842,            0.005842
                  44,               1.672,              1.9818,              2.0961,             0.79553,             0.43411,             0.49736,             0.28964,              1.5991,              1.8491,              2.2193,            0.005743,            0.005743,            0.005743
                  45,              1.7013,              1.9616,              2.1083,             0.78509,             0.43842,             0.48752,             0.29188,              1.5711,              1.8485,              2.1864,            0.005644,            0.005644,            0.005644
                  46,              1.6669,              1.9421,              2.0744,             0.70203,             0.43158,             0.48895,             0.29475,               1.568,              1.8619,              2.1683,            0.005545,            0.005545,            0.005545
                  47,              1.6453,              1.9677,              2.0902,             0.77191,             0.45368,             0.50036,             0.28856,              1.5936,              1.8455,              2.1833,            0.005446,            0.005446,            0.005446
                  48,              1.6587,              1.9111,              2.0472,             0.73742,               0.439,             0.47926,             0.27112,              1.6653,              1.9177,              2.2797,            0.005347,            0.005347,            0.005347
                  49,              1.6514,              1.8841,               2.049,             0.78236,             0.43947,             0.50187,             0.30673,              1.4988,              1.8911,              2.1082,            0.005248,            0.005248,            0.005248
                  50,              1.6199,              1.8758,              2.0395,             0.80466,              0.4401,             0.51028,             0.30903,              1.4998,               1.719,              2.1137,            0.005149,            0.005149,            0.005149
                  51,              1.6248,               1.865,              2.0452,             0.75138,             0.43316,             0.52135,             0.31892,                1.49,              1.7357,              2.0725,             0.00505,             0.00505,             0.00505
                  52,              1.6183,              1.8654,               2.032,             0.78291,             0.43947,             0.52705,              0.3139,              1.5115,              1.7441,              2.1104,            0.004951,            0.004951,            0.004951
                  53,              1.6041,              1.8546,               2.039,             0.79804,             0.45755,             0.54811,             0.33313,              1.4772,               1.678,              2.0591,            0.004852,            0.004852,            0.004852
                  54,              1.5837,              1.8637,              2.0077,             0.79632,                0.44,             0.52814,             0.32333,              1.5059,              1.6808,              2.1109,            0.004753,            0.004753,            0.004753
                  55,              1.5962,              1.8314,              2.0147,              0.7932,             0.44316,             0.52404,             0.32499,              1.4536,              1.6845,              2.0516,            0.004654,            0.004654,            0.004654
                  56,              1.5759,              1.8016,              1.9708,             0.81529,                0.46,             0.55059,             0.33212,              1.4747,              1.6366,              2.0713,            0.004555,            0.004555,            0.004555
                  57,              1.5897,              1.8424,              2.0019,             0.81354,             0.45947,             0.54989,             0.33326,              1.4852,              1.7062,              2.0787,            0.004456,            0.004456,            0.004456
                  58,               1.562,              1.7773,               1.964,             0.79372,             0.45053,             0.53262,             0.32907,              1.5082,              1.6622,              2.0665,            0.004357,            0.004357,            0.004357
                  59,              1.5218,              1.7231,              1.9421,             0.75245,             0.45915,             0.53617,             0.32777,              1.4538,              1.6796,              2.0318,            0.004258,            0.004258,            0.004258
                  60,              1.5298,               1.768,              1.9497,             0.83123,             0.45579,             0.55586,             0.35069,              1.4265,              1.5924,              2.0056,            0.004159,            0.004159,            0.004159
                  61,              1.5756,              1.7673,               1.979,             0.79671,             0.47648,             0.56607,             0.35878,              1.4245,              1.6232,              2.0072,             0.00406,             0.00406,             0.00406
                  62,              1.5593,              1.7619,              1.9754,             0.81599,             0.46158,             0.55736,             0.35505,              1.4069,              1.6521,              1.9943,            0.003961,            0.003961,            0.003961
                  63,              1.5131,              1.7321,              1.9219,              0.7961,             0.48086,             0.56723,             0.36056,              1.4176,              1.5937,              1.9792,            0.003862,            0.003862,            0.003862
                  64,              1.5324,              1.7259,              1.9331,             0.81459,              0.4694,             0.55959,             0.36341,              1.3791,              1.5708,              1.9581,            0.003763,            0.003763,            0.003763
                  65,              1.5179,              1.6868,              1.9221,             0.78491,             0.45947,             0.54535,             0.34629,              1.4097,              1.6053,              1.9806,            0.003664,            0.003664,            0.003664
                  66,              1.5041,              1.7002,              1.9311,              0.8186,             0.46314,             0.55716,             0.36633,              1.3712,              1.5311,              1.9446,            0.003565,            0.003565,            0.003565
                  67,              1.4919,              1.7002,              1.9267,              0.8174,             0.46414,               0.565,             0.36107,              1.3914,                1.53,              1.9599,            0.003466,            0.003466,            0.003466
                  68,              1.5232,               1.694,              1.9158,             0.79134,             0.48263,              0.5775,             0.37295,              1.3844,              1.5425,              1.9422,            0.003367,            0.003367,            0.003367
                  69,              1.5128,              1.6927,              1.9156,             0.77689,             0.49474,             0.57261,             0.36504,              1.3901,              1.5332,               1.962,            0.003268,            0.003268,            0.003268
                  70,               1.475,              1.6961,              1.9039,             0.72712,             0.48102,             0.55747,             0.33866,              1.4425,              1.6694,              2.0023,            0.003169,            0.003169,            0.003169
                  71,              1.4999,              1.7051,              1.9187,             0.73482,             0.49004,             0.57099,             0.37005,                1.35,               1.531,              1.9183,             0.00307,             0.00307,             0.00307
                  72,              1.4847,              1.7182,              1.8922,             0.83423,             0.46883,             0.57636,             0.38404,              1.3268,              1.4945,              1.8928,            0.002971,            0.002971,            0.002971
                  73,              1.4536,              1.6063,              1.8711,             0.77214,             0.49761,             0.59608,             0.39037,              1.3193,              1.4543,              1.9053,            0.002872,            0.002872,            0.002872
                  74,              1.4658,              1.6263,              1.8589,             0.81979,             0.48603,             0.58647,             0.38483,              1.3393,              1.4558,              1.9098,            0.002773,            0.002773,            0.002773
                  75,              1.4616,              1.6158,              1.8728,             0.81651,             0.48947,             0.59233,             0.38465,              1.3306,              1.4696,              1.9044,            0.002674,            0.002674,            0.002674
                  76,              1.4775,              1.6495,              1.8821,             0.80307,             0.50105,             0.59834,             0.39112,              1.3135,              1.4652,              1.8898,            0.002575,            0.002575,            0.002575
                  77,              1.4574,              1.6594,              1.8997,             0.80137,             0.50326,             0.61004,             0.40023,              1.3131,              1.4429,              1.8727,            0.002476,            0.002476,            0.002476
                  78,              1.4466,              1.6239,              1.8539,             0.79969,             0.49895,             0.60482,             0.39666,              1.3048,              1.4748,              1.8618,            0.002377,            0.002377,            0.002377
                  79,              1.4362,              1.6064,                1.86,             0.82852,             0.49579,             0.60316,             0.40039,              1.3061,              1.4444,              1.8647,            0.002278,            0.002278,            0.002278
                  80,              1.4226,              1.5989,              1.8444,              0.8265,             0.50895,             0.61581,              0.4008,              1.3184,              1.4188,              1.8806,            0.002179,            0.002179,            0.002179
                  81,              1.4403,               1.611,              1.8617,             0.81833,             0.50105,              0.6139,             0.40546,              1.2887,               1.419,              1.8547,             0.00208,             0.00208,             0.00208
                  82,              1.4274,              1.5891,              1.8411,             0.84202,             0.49684,             0.60966,              0.4016,              1.3124,              1.4128,              1.8763,            0.001981,            0.001981,            0.001981
                  83,              1.4398,              1.5998,              1.8512,             0.79861,             0.50211,             0.60214,             0.40289,              1.2757,              1.4566,              1.8516,            0.001882,            0.001882,            0.001882
